"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3700559";"";"";"Small molecule";"";"246.25";"1";"1";"1.84";"83.05";"4";"2";"0";"1";"N";"0.69";"3.75";"None";"1.44";"-1.85";"3";"MOL";"-1";"17";"5";"2";"0";"246.0099";"-0.47";"ACID";"C11H6N2O3S";"O=C(O)c1ccc2c(c1)[nH]c(=O)c1ncsc12";"IRCNDYNDHBXUMR-UHFFFAOYSA-N"
"CHEMBL111909";"";"";"Small molecule";"";"422.53";"3";"3";"3.95";"15.27";"2";"1";"0";"6";"N";"0.87";"None";"9.52";"3.89";"1.66";"2";"MOL";"-1";"23";"2";"1";"0";"306.2096";"-0.61";"BASE";"C25H30N2O4";"C(=C/c1ccccc1)\CNC1CCN(Cc2ccccc2)CC1.O=C(O)/C=C/C(=O)O";"OBRNDMMNGQUYJB-XXDGJWBXSA-N"
"CHEMBL3658420";"";"";"Small molecule";"";"559.65";"1";"1";"3.44";"115.48";"7";"3";"1";"8";"N";"0.28";"11.77";"5.04";"2.26";"2.26";"4";"MOL";"-1";"41";"10";"3";"1";"559.2707";"-1.40";"NEUTRAL";"C30H34FN7O3";"COc1cccc(F)c1CN1C[C@H](NC(=O)c2ccc3[nH]nc(-c4ccnc(C)c4)c3c2)CC[C@H]1C(=O)NN(C)C";"DGQNJLWKKJEBKU-RLWLMLJZSA-N"
"CHEMBL3967310";"";"";"Small molecule";"";"495.48";"1";"1";"4.69";"93.14";"5";"1";"0";"7";"N";"0.48";"3.43";"None";"4.87";"1.47";"3";"MOL";"-1";"36";"7";"1";"0";"495.1493";"-0.92";"ACID";"C27H23F2NO6";"COC(=O)c1cc(F)c(F)cc1-c1ccc(OCc2cccc(C(=O)N3CCC[C@H]3C(=O)O)c2)cc1";"RUGYMLFANZZTDM-DEOSSOPVSA-N"
"CHEMBL3930366";"";"";"Small molecule";"";"509.51";"1";"1";"4.87";"93.14";"5";"1";"1";"9";"N";"0.44";"3.44";"None";"4.52";"1.12";"3";"MOL";"-1";"37";"7";"1";"1";"509.1650";"-1.01";"ACID";"C28H25F2NO6";"CC(=O)COc1cc(-c2ccc(OCc3cccc(C(=O)N4CCC[C@H]4C(=O)O)c3)cc2)cc(F)c1F";"KTQYESNXFAWHDU-DEOSSOPVSA-N"
"CHEMBL265012";"";"";"Small molecule";"";"739.67";"2";"2";"6.60";"103.06";"8";"1";"2";"10";"N";"0.18";"4.05";"None";"8.39";"7.45";"5";"MOL";"-1";"45";"8";"1";"2";"654.1582";"-1.38";"ACID";"C33H31Cl2F3N4O4S2";"CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)c2ccc(C)s2)cc1.ClCCl";"KKDLFLWYGKZGEI-UHFFFAOYSA-N"
"CHEMBL188993";"";"";"Small molecule";"";"309.76";"1";"2";"3.98";"55.11";"5";"1";"0";"2";"N";"0.61";"13.14";"6.28";"2.53";"2.51";"4";"MOL";"-1";"22";"5";"1";"0";"309.0781";"-1.55";"NEUTRAL";"C16H12ClN5";"Cc1cccc(Cl)c1Nc1nc2cnccc2n2cncc12";"IFHNPCYSUVCEQD-UHFFFAOYSA-N"
"CHEMBL2068909";"";"";"Small molecule";"";"534.69";"3";"8";"4.03";"88.07";"5";"3";"0";"5";"N";"0.36";"None";"8.86";"3.03";"1.57";"0";"MOL";"-1";"30";"5";"4";"0";"418.3195";"2.10";"BASE";"C29H46N2O7";"CC(/C=N/OCCN)=C\[C@H]1CC[C@]2(O)[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C.O=C(O)/C=C/C(=O)O";"JNUYLYLURRCSCS-QTPFCHAISA-N"
"CHEMBL3700453";"";"";"Small molecule";"";"335.37";"1";"1";"3.02";"100.03";"6";"3";"0";"5";"N";"0.62";"3.70";"2.86";"2.04";"-0.95";"3";"MOL";"-1";"25";"7";"3";"0";"335.1382";"-0.86";"ACID";"C18H17N5O2";"O=C(O)c1ccc2c(c1)nc(NC1CC1)c1nc(NC3CC3)ncc12";"ZOZDFHGHDQVDLR-UHFFFAOYSA-N"
"CHEMBL3951552";"";"";"Small molecule";"";"394.40";"2";"2";"0.22";"143.16";"10";"4";"0";"6";"N";"0.34";"7.24";"2.47";"-0.40";"-0.78";"3";"MOL";"-1";"29";"12";"4";"1";"394.1614";"-1.59";"NEUTRAL";"C17H18N10O2";"Cn1cc(CNc2nc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)cn1";"AWKDPSKAORFMEK-QCDXTXTGSA-N"
"CHEMBL3926316";"";"";"Small molecule";"";"454.88";"2";"2";"2.15";"134.57";"9";"4";"0";"7";"N";"0.31";"7.24";"2.31";"1.62";"1.24";"3";"MOL";"-1";"32";"11";"4";"1";"454.1269";"-1.19";"NEUTRAL";"C20H19ClN8O3";"COc1ccc(CNc2nc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)cc1Cl";"DVLKKMJYFVPYPW-AUWJEWJLSA-N"
"CHEMBL3940234";"";"";"Small molecule";"";"460.89";"2";"2";"3.31";"125.34";"8";"4";"0";"6";"N";"0.26";"7.24";"3.83";"2.15";"1.77";"4";"MOL";"-1";"33";"10";"4";"0";"460.1163";"-1.68";"NEUTRAL";"C22H17ClN8O2";"O=C1NC(=O)/C(=C/c2cnn3c(NCc4ccccn4)cc(Nc4cccc(Cl)c4)nc23)N1";"CHEJAVBQMRDDMQ-IUXPMGMMSA-N"
"CHEMBL3983851";"";"";"Small molecule";"";"390.41";"1";"1";"1.87";"125.34";"8";"4";"0";"6";"N";"0.37";"7.11";"7.82";"-0.27";"-0.25";"3";"MOL";"-1";"29";"10";"4";"0";"390.1553";"-1.10";"NEUTRAL";"C19H18N8O2";"O=C1NC(=O)/C(=C/c2cnn3c(NCC4CC4)cc(Nc4ccncc4)nc23)N1";"OUDDEUOVNQLQFC-AUWJEWJLSA-N"
"CHEMBL3902036";"";"";"Small molecule";"";"442.36";"2";"2";"2.00";"125.34";"8";"4";"0";"5";"N";"0.27";"7.24";"0.78";"2.05";"1.67";"3";"MOL";"-1";"32";"10";"4";"0";"442.1114";"-1.65";"NEUTRAL";"C19H13F3N8O2";"C#Cc1cccc(Nc2nc(NCC(F)(F)F)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1";"RVSSPFILOJBAFE-QPEQYQDCSA-N"
"CHEMBL3700384";"";"";"Small molecule";"";"320.37";"1";"4";"4.89";"62.22";"4";"2";"0";"3";"N";"0.56";"3.63";"1.85";"4.57";"1.36";"4";"MOL";"-1";"23";"4";"2";"0";"320.0619";"-1.39";"ACID";"C18H12N2O2S";"O=C(O)c1ccc2c(c1)nc(Nc1ccccc1)c1ccsc12";"ZJWIJPRRJBELMF-UHFFFAOYSA-N"
